combo_id,module,task,model,device,dataset,fe_preset,outcome,exit_code,wall_seconds,artifact_training_base,artifact_training_quantization,error_signature
arc_fault__ArcFault_model_1400_t,timeseries,arc_fault,ArcFault_model_1400_t,F280013,arc_fault_classification,ArcFault_1024Input_256Feature_1Frame_Full_Bandwidth,TRAIN-FAIL,1,11.1,False,False,"ValueError: Model 'CNN_AF_3L_1400' not found in registry or specified model_spec. Available models: ['RES_CAT_CNN_TS_GEN_BASE_3K', 'RES_ADD_CNN_TS_GEN_BASE_3K', 'HAR_TINIE_CNN_2K', 'YOLO_Classifier_8K"
arc_fault__ArcFault_model_200_t,timeseries,arc_fault,ArcFault_model_200_t,F280013,arc_fault_classification,ArcFault_1024Input_256Feature_1Frame_Full_Bandwidth,TRAIN-FAIL,1,11.4,False,False,"ValueError: Model 'CNN_AF_3L_200' not found in registry or specified model_spec. Available models: ['RES_CAT_CNN_TS_GEN_BASE_3K', 'RES_ADD_CNN_TS_GEN_BASE_3K', 'HAR_TINIE_CNN_2K', 'YOLO_Classifier_8K'"
arc_fault__ArcFault_model_300_t,timeseries,arc_fault,ArcFault_model_300_t,F280013,arc_fault_classification,ArcFault_1024Input_256Feature_1Frame_Full_Bandwidth,TRAIN-FAIL,1,11.5,False,False,"ValueError: Model 'CNN_AF_3L_300' not found in registry or specified model_spec. Available models: ['RES_CAT_CNN_TS_GEN_BASE_3K', 'RES_ADD_CNN_TS_GEN_BASE_3K', 'HAR_TINIE_CNN_2K', 'YOLO_Classifier_8K'"
arc_fault__ArcFault_model_700_t,timeseries,arc_fault,ArcFault_model_700_t,F280013,arc_fault_classification,ArcFault_1024Input_256Feature_1Frame_Full_Bandwidth,TRAIN-FAIL,1,11.1,False,False,"ValueError: Model 'CNN_AF_3L_700' not found in registry or specified model_spec. Available models: ['RES_CAT_CNN_TS_GEN_BASE_3K', 'RES_ADD_CNN_TS_GEN_BASE_3K', 'HAR_TINIE_CNN_2K', 'YOLO_Classifier_8K'"
blower_imbalance__FanImbalance_model_1_t,timeseries,blower_imbalance,FanImbalance_model_1_t,F280013,,,BLOCKED,,0,,,no dataset in DATASET_REGISTRY for this task
blower_imbalance__FanImbalance_model_2_t,timeseries,blower_imbalance,FanImbalance_model_2_t,F280013,,,BLOCKED,,0,,,no dataset in DATASET_REGISTRY for this task
blower_imbalance__FanImbalance_model_3_t,timeseries,blower_imbalance,FanImbalance_model_3_t,F280013,,,BLOCKED,,0,,,no dataset in DATASET_REGISTRY for this task
ecg_classification__ECG_55k_NPU,timeseries,ecg_classification,ECG_55k_NPU,F280013,ecg_classification,,TRAIN-FAIL,1,8.5,False,False,KeyError: 'ecg_classification'
generic_timeseries_anomalydetection__AD_10k_NPU,timeseries,generic_timeseries_anomalydetection,AD_10k_NPU,F280013,generic_timeseries_anomalydetection,,CONFIG-INVALID,2,0,,,ERROR: Dataset missing 'annotations/' subdirectory: /var/folders/tt/qgqs8ykx49n82lmhllx8mszr0000gn/T/mtx-dry-qbq4qdnk/proj/dataset
generic_timeseries_anomalydetection__AD_16k,timeseries,generic_timeseries_anomalydetection,AD_16k,F280013,generic_timeseries_anomalydetection,,CONFIG-INVALID,2,0,,,ERROR: Dataset missing 'annotations/' subdirectory: /var/folders/tt/qgqs8ykx49n82lmhllx8mszr0000gn/T/mtx-dry-riiqm7re/proj/dataset
